ctry,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,o,n,d,j,f,m,a,m,j,j,a,s,
Brazil,0,0,0,1,9,26,22,8,16,15,19,16,15,12,24,10,25,11,15,20,21,20,37,21,46,98,96,83,98,104,51,45,88,28,26,13,11,8,6,5,14,20,12,4,20,13,25,25,27,9,21,17,10,26,35,22,36,41,53,99,32,13,18,19,16,19,14,18,16,22,17,30,12,15,62,5,6,10,4,2,10,13,13,24,13,14,7,11,1,10,10,7,13,18,26,23,22,8,13,11,7,11,8,6,9,17,22,12,11,18,12,18,5,2,5,8,9,12,10,8,11,5,9,4,2,7,3,2,1,9,6,6,3,1,3,7,1,3,2,8,2,2,7,5,7,0,0,6,7,8,6,2,3,5,4,5,2,2,9,5,3,5,3,6,2,7,8,7,7,3,0,9,4,6,4,12,5,8,10,4,8,9,6,1,1,2,8,5,10,7,8,5,13,9,5,30,10,80,61,81,77,92,92,33,63,70,85,66,56,40,76,40,29,30,119,49,55,52,45,48,66,79,110,98,157,86,83,36,54,49,50,46,85,58,54
Brazil,16,18,8,7,10,11,19,7,26,14,20,20,15,18,7,9,21,12,8,18,21,17,41,22,32,87,74,72,67,78,28,34,43,48,55,59,41,32,30,45,39,66,55,28,33,21,53,52,41,44,47,45,29,33,38,61,68,55,101,123,41,49,42,31,20,30,18,22,28,19,31,38,32,20,27,16,27,24,18,15,10,18,11,15,13,9,11,18,17,30,12,16,5,14,26,19,14,8,9,5,13,10,10,10,15,10,27,5,10,12,13,14,11,20,10,7,23,14,18,21,24,12,17,12,14,15,15,19,30,9,10,14,2,5,2,5,4,2,5,2,4,2,8,5,8,2,7,5,11,8,10,7,11,12,11,9,7,6,9,2,1,4,7,9,2,10,14,13,17,6,6,10,16,8,14,26,33,14,25,26,28,10,6,5,6,9,14,5,13,19,15,15,19,22,17,44,10,13,29,34,41,55,99,25,7,11,24,27,21,23,24,20,26,39,101,31,39,29,34,34,42,36,48,63,49,36,97,76,76,38,51,42,72,70,57
Mexico,0,0,0,0,6,7,18,3,10,5,13,7,7,5,13,5,6,14,14,2,9,15,11,6,29,34,29,39,37,36,33,27,35,46,34,26,15,12,12,15,33,14,17,5,3,5,4,2,12,8,6,11,2,7,1,4,6,9,33,39,17,26,29,21,43,32,44,31,57,60,141,179,29,19,34,28,26,36,16,20,31,23,28,30,31,40,15,13,25,21,6,10,18,19,11,13,12,12,5,12,9,7,5,3,5,12,8,4,6,9,7,11,11,13,12,16,4,14,16,13,14,8,24,13,22,28,22,16,43,43,69,40,19,21,28,34,30,25,18,15,34,35,30,44,12,25,28,21,41,52,20,24,15,33,32,21,13,24,25,24,17,26,12,25,16,32,15,19,21,18,19,29,50,40,42,27,40,39,20,39,42,17,17,10,26,31,9,10,21,40,27,14,24,24,29,47,28,20,25,16,36,53,21,0,0,0,7,40,34,50,34,14,8,12,7,5,5,12,10,7,3,19,8,8,16,12,24,13,16,16,48,57,58,48,65
Mexico,17,23,11,6,11,10,7,11,7,21,12,31,12,17,22,13,16,12,12,8,14,23,16,15,46,66,84,87,102,82,72,66,61,64,72,73,63,53,65,56,82,62,79,33,49,49,60,49,56,37,47,46,36,52,43,48,70,73,64,95,71,69,59,39,71,63,69,69,85,85,210,138,52,34,42,40,38,53,31,29,41,43,63,58,41,44,34,34,25,43,24,28,31,26,29,32,30,19,32,26,31,35,27,23,36,42,32,17,27,22,29,35,26,40,33,21,34,16,28,30,15,20,20,17,19,31,17,20,25,32,50,41,20,22,35,36,28,29,16,24,29,25,28,38,17,15,20,21,20,46,29,23,24,17,25,26,18,21,31,18,11,35,15,19,25,19,26,19,17,12,22,31,45,46,27,32,34,34,27,38,30,30,14,7,20,22,26,17,18,37,37,22,25,30,37,63,31,33,31,29,68,85,96,36,41,34,39,47,42,65,42,51,28,33,50,25,52,33,40,40,34,49,41,32,39,49,53,47,38,35,43,51,53,51,49
Costa Rica,0,0,0,0,4,0,3,1,2,3,1,1,1,1,1,2,0,1,0,0,2,3,2,3,4,7,5,5,6,5,15,16,4,11,4,10,3,10,3,3,6,11,13,2,1,5,6,5,1,7,4,1,3,3,15,9,30,15,29,41,19,18,6,9,23,19,14,13,13,16,14,33,8,15,19,12,15,19,10,17,7,14,11,13,7,9,19,10,18,14,3,7,4,4,18,11,5,7,7,14,6,6,8,4,16,6,19,8,4,9,9,14,7,14,8,8,9,10,8,15,4,5,6,4,4,10,8,9,11,6,9,20,15,5,15,14,9,12,11,6,9,11,11,6,6,3,7,5,9,10,8,7,3,8,0,1,7,2,2,1,1,0,1,7,6,7,2,5,2,1,6,21,9,11,2,8,9,8,3,5,3,2,2,5,2,4,1,4,2,2,7,8,8,5,8,2,4,9,1,0,1,0,3,0,6,9,7,9,9,12,2,6,4,9,6,6,2,10,5,6,10,6,4,9,14,9,3,8,5,3,3,3,7,4,3
Peru,0,0,0,0,2,6,4,0,14,7,6,7,2,5,6,3,7,4,2,1,3,9,7,4,6,6,10,15,9,9,8,6,4,4,7,14,12,8,17,18,35,15,10,5,8,11,14,16,12,11,5,14,7,20,8,8,13,15,24,45,23,11,23,17,16,18,10,8,5,7,1,8,4,4,17,7,3,6,3,8,7,4,10,6,5,2,1,6,2,8,4,7,5,4,8,8,9,7,9,4,1,2,0,0,1,1,4,11,14,7,11,8,3,12,12,10,0,4,24,41,12,3,5,8,10,14,5,5,8,9,8,27,6,6,4,8,4,4,6,3,4,7,8,9,11,9,15,16,4,13,10,4,13,3,3,3,2,2,2,3,5,10,3,7,4,9,13,14,9,3,13,4,13,7,11,14,17,10,5,19,7,9,8,2,5,4,5,2,5,7,11,5,9,2,7,3,8,4,4,10,7,8,12,10,6,5,1,5,6,7,7,10,6,5,16,4,3,7,10,1,2,3,9,8,19,9,8,9,9,10,6,8,2,10,6
Ecuador,0,0,0,1,0,2,3,0,13,4,3,2,5,3,1,3,3,1,1,1,2,3,6,3,11,8,10,4,0,6,4,1,6,21,6,5,4,3,2,4,4,1,3,1,1,1,4,1,4,0,1,4,0,3,0,4,2,2,14,16,11,5,5,1,2,3,1,2,1,0,2,2,2,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,2,1,0,1,0,2,2,3,1,3,1,0,5,2,2,4,0,4,0,5,7,2,2,0,5,2,2,1,9,6,1,3,4,0,1,1,0,0,0,1,7,3,4,4,2,1,1,0,3,5,1,3,3,1,2,7,3,1,4,2,0,4,2,4,3,2,1,1,0,0,0,0,0,0,0,0,0,2,3,1,1,8,2,4,1,1,0,5,2,2,5,1,0,0,1,1,1,0,2,1,3,1,1,1,4,0,0,3,2,1,0,0,2,0,6,6,0,1,3,0,1,0,2,51,26,33,19,22,20,21,27,15,3,1,2,1,2,0,1,1,5,29,9,25
Uruguay,0,0,0,0,0,5,11,5,8,5,3,5,4,1,1,1,4,0,2,1,5,0,10,6,1,17,8,7,10,8,12,13,9,8,9,13,6,2,7,4,7,11,6,3,9,5,4,4,12,11,18,16,12,9,6,5,6,5,14,24,10,7,9,16,8,11,4,6,3,13,12,7,5,5,5,1,3,5,3,5,6,4,3,6,11,6,2,3,5,0,2,1,4,5,2,5,4,4,5,0,0,0,5,3,6,10,6,5,3,5,6,7,4,7,4,6,7,8,10,5,10,7,7,5,6,17,6,8,11,13,10,12,9,6,11,7,7,8,5,7,9,3,14,11,8,6,11,8,10,8,11,8,5,9,21,13,16,9,5,11,19,11,11,9,5,8,6,6,4,3,5,5,6,7,5,11,21,6,8,8,7,10,11,3,7,7,8,4,5,8,9,8,8,3,8,6,7,10,7,9,12,7,26,11,15,8,6,9,14,10,6,12,15,12,12,7,11,7,7,12,15,11,16,13,10,7,13,18,16,7,12,10,8,9,15
Uruguay,0,0,1,4,5,11,4,4,8,7,4,5,2,1,0,3,7,2,1,0,3,4,4,4,5,8,7,9,9,12,2,6,5,3,8,4,2,2,1,2,0,1,1,1,0,1,3,0,9,18,8,6,5,6,1,3,4,1,4,7,3,1,1,5,2,2,2,12,6,7,4,2,3,2,1,2,1,1,0,1,1,1,1,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,2,0,0,0,0,2,1,1,0,1,0,2,0,1,1,2,0,1,0,5,2,5,0,4,2,0,2,1,1,1,4,1,4,0,1,3,0,1,1,0,0,2,2,5,3,1,1,0,1,3,4,2,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,6,9,16,6,6,6,16,17,19,8,7,29,9,8,2,1,3,2,7,6,11,3,2,6,13,8,5,10,4,13,8,3,5,12,29,17,22,14,6,15,13,37,27,24,17,29,31,18,44,18,8,8,15,15,11,11,3,5,2,4,2,3,3,7,4,6,10
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,16,31,10,17,24,19,9,25,33,19,29,35,42,59,26,17,18,21,22,18,19,21,13,3,1,0,5,8,10,7,9,11,17,7,8,4,18,14,10,6,10,9,9,21,12,15,10,10,18,9,12,10,14,12,14,6,7,3,6,5,9,5,5,5,9,18,7,9,11,19,20,13,12,21,12,13,11,15,15,6,14,21,24,20,29,35,20,24,16,23,11,15,15,15,8,23,27,16,19,16,25,18,7,25,20,19,25,17,26,15,25,22,20,13,10,17,19,13,18,28,17,23,25,14,20,14,24,26,18,35,32,31,18,37,30,25,31,14,19,15,18,15,25,34,59,18,13,13,19,32,22,19,20,38,15,35,50,16,19,18,29,30,36,33,45,35,35,26,50,18,29,23,22,34,39,27,38,42,33,41,22,29,35,19,0,46,40,24,30
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,9,4,3,8,5,5,3,0,3,2,7,6,10,1,2,1,1,1,0,0,4,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,47,56,40,40,57,58,72,37,54,90,37,33,60,43,44,61,60,56,110,80,136,123,71,72,52,18,30,47,30,42,26,38,55,43,53,14,4,2,3,7,3,0,0,0,1,1,0,28,70,63,43,45,56,40,60,64,62,69,67,54,57,65,49,70,61,38,54,69,70,102,82,79,37,39,34,10,0,0,27,59,100,59,60,30,46,54,23,72,64,76,86,136,134,75,65,81,69,98,85,122,88,98,79,122,196,80,84,63,107,86,89,100,103,85,102,97,93,106,89,72,62,88,83,66,71
VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,1,7,3,2,3,1,3,4,5,7,24,6,7,16,40,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,2,5,5,7,0,2,4,6,10,5,0,4,6,5,12,18,16,9,31,14,22,40,13,4,12,15,8,34,12,0,15,82,48,81,34,18,32,31,19,11,21,30,39,37,51,21,4,0,0,0,13,41,7,18,22,17,21,35,11,12,5,0,0,0,0,0,0,0,0,0,2,12,22,9,4,1,11,19,30,12,21,28,26,8,10,1,12,3,1,1,8,7,11,8,4,9,10,10,3,9,17,20,26,29,34,14,6,4,3,8,7,12,10,8,15,18,24,14,29,15,9,15,17,14,7,29,23,19,15,29,13,9,11,7,9,15,8
Argentina,3,6,0,0,3,1,0,1,0,2,4,11,6,7,4,3,6,2,0,0,1,5,4,3,16,15,14,16,8,11,16,7,12,19,14,8,5,11,12,8,14,11,3,0,2,1,3,6,6,7,6,7,1,4,2,5,9,12,17,31,9,11,16,11,7,2,4,4,10,6,2,1,3,2,6,3,5,6,2,4,7,4,1,4,3,5,1,3,3,2,2,2,2,1,3,2,0,0,3,2,2,4,0,0,3,7,3,5,8,1,4,21,5,15,9,6,58,11,8,0,8,5,14,9,5,19,12,19,18,9,14,21,16,12,18,14,6,9,5,5,18,13,17,10,16,4,13,7,8,13,6,5,5,7,3,3,5,5,3,0,3,0,9,3,0,6,15,12,6,6,7,1,10,4,5,10,18,7,8,14,6,5,8,1,1,7,1,5,5,11,10,6,5,5,12,8,12,28,31,39,46,74,74,36,55,58,37,39,30,47,37,70,344,377,635,336,360,296,349,126,77,114,125,41,91,53,80,58,63,47,51,61,69,83,39
Argentina,3,5,3,2,1,2,7,1,2,0,5,7,1,4,1,4,4,2,1,2,3,2,7,4,6,11,7,10,8,10,9,8,16,16,17,5,5,5,15,9,10,11,6,4,4,11,12,12,10,7,9,8,11,4,5,1,8,13,12,29,9,3,9,4,2,5,3,8,3,5,6,14,2,5,6,4,3,6,3,1,4,2,2,3,3,2,2,0,2,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,8,3,0,2,0,0,3,3,0,8,4,11,8,1,3,25,58,64,43,58,76,99,101,95,77,92,78,59,94,72,82,90,104,117,158,160,86,86,94,87,72,68,101,102,79,34,76,130,65,74,75,106,54,67,74,85,83,86,70,84,77,65,43,52,46,78,59,62
Chile,1,4,1,0,3,0,2,0,0,1,3,9,7,7,4,9,7,7,4,3,7,4,7,6,22,48,27,19,39,16,14,11,21,29,18,19,13,12,21,13,15,12,5,8,12,6,12,5,7,14,18,18,11,10,1,4,14,10,32,45,16,11,13,10,14,11,11,11,11,9,16,15,8,10,7,7,5,9,2,6,8,8,13,11,5,10,9,6,5,8,10,5,5,8,17,7,10,7,9,5,12,7,6,7,7,6,12,8,3,9,9,11,8,11,20,11,33,18,31,29,17,21,28,30,21,27,27,26,28,33,42,39,28,21,32,29,34,28,20,27,33,35,43,33,27,32,36,41,31,46,31,23,29,31,33,34,34,23,18,24,24,24,25,27,36,41,28,50,43,39,51,61,56,75,44,103,144,101,53,90,80,73,36,29,26,25,29,37,58,68,62,50,49,43,37,37,53,42,47,88,60,85,108,92,60,61,49,57,74,71,44,55,60,45,73,54,53,51,58,64,50,50,52,34,67,66,62,74,66,59,53,86,54,53,46
Combined,40,56,24,21,54,81,100,41,106,84,93,121,77,81,84,65,106,68,60,56,91,105,152,97,224,405,371,366,393,377,264,240,304,297,270,249,180,158,192,184,259,235,212,95,143,139,225,221,211,194,229,220,143,208,189,199,301,298,452,687,294,250,265,245,247,233,213,229,251,255,460,471,165,139,238,133,145,195,110,115,141,138,174,188,142,147,111,113,112,160,85,106,99,111,160,136,128,86,112,99,103,96,76,66,112,125,157,85,104,132,169,225,142,204,199,184,303,173,247,324,188,137,220,181,170,272,203,202,325,349,433,470,246,218,255,228,185,195,154,187,222,234,307,247,190,129,173,154,168,285,165,140,159,162,186,170,143,159,200,164,137,177,161,165,178,234,215,245,231,183,247,266,300,312,267,353,465,351,291,449,361,293,214,176,226,185,186,188,307,405,454,304,343,282,300,444,287,434,438,549,598,829,938,453,451,473,455,522,496,633,544,523,700,835,1501,738,873,710,832,555,547,624,672,559,710,561,640,586,547,411,446,563,651,565,540